Date,AAPL,SBUX,MSFT,CSCO,QCOM,FB,AMZN,TSLA,AMD,ZNGA
04/04/2013,0.8,92.43697478991596,42.3963133640553,89.44954128440368,85.1528384279476,,76.11336032388664,99.10313901345292,14.772727272727273,54.54545454545455
04/05/2013,0.4,91.17647058823529,44.70046082949309,78.53881278538812,81.6593886462882,,66.39676113360323,98.65470852017937,13.714285714285714,57.57575757575758
04/08/2013,1.2000000000000002,92.46861924686192,42.3963133640553,77.1689497716895,86.02620087336246,,74.89878542510121,98.65470852017937,27.586206896551722,55.32994923857868
04/09/2013,1.6,88.28451882845188,60.550458715596335,86.69724770642202,87.33624454148472,,80.97165991902834,97.30941704035875,30.057803468208096,53.2994923857868
04/10/2013,6.4,91.17647058823529,75.22935779816514,95.41284403669725,99.12663755458516,,85.02024291497976,98.65470852017937,29.069767441860467,55.61224489795919
04/11/2013,6.4,94.53781512605042,47.247706422018354,97.26027397260273,97.37991266375546,,93.11740890688259,99.10313901345292,24.561403508771928,54.35897435897435
04/12/2013,4.0,96.63865546218487,45.41284403669725,95.4337899543379,93.85964912280701,,95.95141700404858,99.10714285714286,22.941176470588236,55.15463917525773
04/15/2013,0.0,90.33613445378151,44.95412844036697,88.12785388127854,84.21052631578947,,89.47368421052632,98.21428571428572,18.93491124260355,48.96907216494845
04/16/2013,2.0,94.51476793248945,49.08256880733945,91.32420091324201,86.78414096916299,,94.73684210526315,100.0,21.428571428571427,52.061855670103085
04/17/2013,0.0,93.24894514767932,47.247706422018354,77.1689497716895,72.36842105263158,,88.66396761133603,99.55555555555554,19.161676646706585,49.22279792746114
04/18/2013,0.0,91.13924050632912,46.08294930875576,75.34246575342465,67.40088105726872,,74.49392712550608,100.0,24.698795180722893,47.91666666666667
04/19/2013,0.0,95.35864978902954,67.74193548387098,73.51598173515981,71.23893805309734,,76.51821862348179,100.0,23.49397590361446,48.69109947643979
04/22/2013,0.8,97.46835443037975,89.40092165898618,75.34246575342465,76.54867256637168,,82.18623481781377,100.0,22.89156626506024,50.261780104712045
04/23/2013,1.6,99.15611814345992,83.41013824884793,84.01826484018264,84.44444444444444,,90.2834008097166,100.0,26.666666666666668,48.421052631578945
04/24/2013,1.6,99.57805907172995,96.29629629629629,71.23287671232876,90.625,,89.87854251012145,99.55947136563876,31.097560975609756,54.73684210526316
04/25/2013,2.4000000000000004,99.5798319327731,97.68518518518519,76.71232876712328,53.81165919282511,,98.38056680161944,100.0,34.75609756097561,46.84210526315789
04/26/2013,2.8000000000000003,99.15966386554622,96.75925925925927,77.1689497716895,40.17857142857143,,60.32388663967611,99.55947136563876,33.12883435582822,56.08465608465608
04/29/2013,8.4,99.5798319327731,100.0,85.38812785388127,41.25560538116592,,51.821862348178136,100.0,35.18518518518518,54.25531914893617
04/30/2013,14.0,100.0,100.0,84.01826484018264,41.07142857142858,,58.2995951417004,99.56140350877192,40.993788819875775,50.26737967914439
05/01/2013,12.4,98.74476987447699,99.53703703703704,69.0909090909091,45.73991031390135,,48.987854251012145,99.12280701754385,45.0,50.0
05/02/2013,16.0,98.74476987447699,100.0,76.81818181818181,61.43497757847534,,56.68016194331984,99.56140350877192,48.75,51.351351351351354
05/03/2013,18.0,100.0,100.0,79.45205479452055,69.64285714285715,,67.20647773279352,99.56331877729258,53.459119496855344,52.17391304347826
05/06/2013,24.0,100.0,100.0,78.53881278538812,70.53571428571429,,61.13360323886639,100.0,54.088050314465406,52.17391304347826
05/07/2013,23.200000000000003,99.58333333333334,99.07834101382488,67.88990825688074,71.42857142857143,,65.1821862348178,99.56331877729258,52.83018867924528,48.63387978142077
05/08/2013,26.0,99.58333333333334,97.6958525345622,75.79908675799086,72.0,,68.42105263157895,99.56331877729258,60.0,56.04395604395605
05/09/2013,21.6,99.16666666666667,96.78899082568807,79.45205479452055,71.68141592920354,,73.27935222672065,100.0,61.25,53.03867403314918
05/10/2013,20.0,100.0,96.80365296803653,89.49771689497716,76.54867256637168,,80.97165991902834,100.0,64.375,54.44444444444445
05/13/2013,21.200000000000003,99.58333333333334,97.72727272727272,93.57798165137615,79.73568281938326,,81.37651821862347,100.0,72.32704402515724,64.80446927374301
05/14/2013,15.600000000000001,100.0,99.5475113122172,93.54838709677419,84.14096916299559,,88.66396761133603,99.56709956709956,74.21383647798741,58.65921787709497
05/15/2013,7.2,100.0,100.0,92.16589861751152,86.34361233480176,,86.23481781376518,99.56709956709956,76.1006289308176,65.92178770949721
05/16/2013,12.0,99.58677685950414,100.0,100.0,86.78414096916299,,79.75708502024291,100.0,60.75949367088608,62.01117318435754
05/17/2013,11.600000000000001,100.0,100.0,100.0,92.95154185022027,,91.90283400809716,99.56709956709956,70.06369426751591,62.921348314606746
05/20/2013,16.400000000000002,99.17355371900827,100.0,99.54128440366974,90.7488986784141,,86.63967611336032,99.13419913419914,71.7948717948718,64.04494382022472
05/21/2013,14.0,100.0,99.09502262443439,99.54128440366974,86.78414096916299,36.28691983122363,89.06882591093117,98.26839826839827,68.38709677419355,66.66666666666667
05/22/2013,14.8,99.58677685950414,98.64253393665159,98.1651376146789,81.49779735682819,34.59915611814346,76.51821862348179,97.83549783549783,67.09677419354838,64.77272727272728
05/23/2013,15.600000000000001,97.52066115702479,98.1981981981982,98.1651376146789,66.3716814159292,34.177215189873415,74.89878542510121,100.0,68.83116883116882,64.57142857142857
05/24/2013,19.200000000000003,97.10743801652893,98.20627802690584,98.17351598173515,69.91150442477877,33.755274261603375,74.49392712550608,100.0,71.24183006535948,64.57142857142857
